test_id,company_id,governorate,region,source_type,year,month,season,pH,turbidity_NTU,TDS_mg_L,chlorine_mg_L,EC_uS_cm,nitrate_mg_L,nitrite_mg_L,ammonia_mg_L,iron_Fe_mg_L,manganese_Mn_mg_L,sulfate_mg_L,hardness_mg_L,chloride_mg_L,DO_mg_L,coliform_CFU_per_100mL,pH_compliant,turbidity_compliant,TDS_compliant,chlorine_compliant,nitrate_compliant,coliform_compliant,potable
11,1,Cairo,Greater Cairo,Nile River,2023,8,Summer,7.88,1.01,261,0.8,505,2.42,0.007,0.102,0.077,0.026,39,128,46,10.0,0,1,0,1,1,1,1,0
12,1,Cairo,Greater Cairo,Nile River,2022,11,Autumn,7.64,0.35,320,0.66,578,2.52,0.024,0.093,0.034,0.02,35,166,39,10.0,0,1,1,1,1,1,1,1
13,1,Cairo,Greater Cairo,Nile River,2023,5,Spring,7.84,0.6,295,0.71,615,3.13,0.009,0.072,0.053,0.01,32,119,31,10.0,0,1,1,1,1,1,1,1
14,1,Cairo,Greater Cairo,Nile River,2021,10,Autumn,7.9,0.71,274,0.82,566,1.84,0.014,0.098,0.055,0.025,54,148,48,10.0,0,1,1,1,1,1,1,1
15,1,Cairo,Greater Cairo,Nile River,2023,7,Summer,7.81,0.59,355,0.61,508,2.81,0.017,0.144,0.047,0.031,39,162,39,10.0,0,1,1,1,1,1,1,1
16,1,Cairo,Greater Cairo,Nile River,2020,3,Spring,7.96,0.67,298,0.72,572,1.82,0.011,0.04,0.043,0.03,40,142,41,10.0,0,1,1,1,1,1,1,1
17,1,Cairo,Greater Cairo,Nile River,2022,5,Spring,7.83,0.95,278,0.87,483,2.34,0.012,0.066,0.065,0.024,39,110,36,10.0,0,1,1,1,1,1,1,1
18,1,Cairo,Greater Cairo,Nile River,2023,4,Spring,7.97,0.21,327,0.68,491,2.48,0.014,0.072,0.056,0.018,44,160,50,10.0,0,1,1,1,1,1,1,1
19,1,Cairo,Greater Cairo,Nile River,2022,5,Spring,7.94,0.59,269,0.74,495,1.78,0.011,0.087,0.032,0.027,34,176,31,10.0,0,1,1,1,1,1,1,1
20,1,Cairo,Greater Cairo,Nile River,2022,10,Autumn,7.91,0.79,307,0.74,505,2.73,0.015,0.069,0.028,0.013,38,169,50,10.0,0,1,1,1,1,1,1,1
21,1,Cairo,Greater Cairo,Nile River,2020,1,Winter,7.76,0.98,256,0.6,540,1.8,0.01,0.137,0.034,0.017,45,134,29,10.0,0,1,1,1,1,1,1,1
22,1,Cairo,Greater Cairo,Nile River,2023,7,Summer,7.8,0.45,309,0.61,584,2.99,0.015,0.116,0.083,0.025,36,152,41,10.0,0,1,1,1,1,1,1,1
23,1,Cairo,Greater Cairo,Nile River,2023,10,Autumn,7.81,0.26,309,0.53,542,2.09,0.006,0.122,0.053,0.031,55,132,33,10.0,0,1,1,1,1,1,1,1
24,1,Cairo,Greater Cairo,Nile River,2021,2,Winter,7.72,0.42,326,0.76,544,1.92,0.005,0.051,0.042,0.02,44,166,42,10.0,0,1,1,1,1,1,1,1
25,1,Cairo,Greater Cairo,Nile River,2022,1,Winter,7.94,0.73,292,0.78,466,2.34,0.01,0.036,0.062,0.006,28,155,43,10.0,0,1,1,1,1,1,1,1
26,1,Cairo,Greater Cairo,Nile River,2023,6,Summer,7.64,1.21,337,0.63,476,3.89,0.018,0.163,0.053,0.024,43,149,37,10.0,0,1,0,1,1,1,1,0
27,1,Cairo,Greater Cairo,Nile River,2020,3,Spring,7.7,0.37,306,0.73,530,1.94,0.018,0.087,0.069,0.017,46,172,21,10.0,0,1,1,1,1,1,1,1
28,1,Cairo,Greater Cairo,Nile River,2022,11,Autumn,7.75,0.43,255,0.82,565,2.12,0.014,0.025,0.048,0.028,51,154,39,10.0,0,1,1,1,1,1,1,1
29,1,Cairo,Greater Cairo,Nile River,2022,2,Winter,7.62,0.63,304,0.54,544,0.63,0.02,0.043,0.071,0.012,47,132,46,10.0,0,1,1,1,1,1,1,1
30,1,Cairo,Greater Cairo,Nile River,2023,10,Autumn,7.87,0.39,266,0.55,532,1.91,0.004,0.105,0.037,0.013,43,132,40,10.0,0,1,1,1,1,1,1,1
31,1,Cairo,Greater Cairo,Nile River,2021,1,Winter,7.9,0.32,276,0.74,503,1.13,0.021,0.067,0.037,0.004,50,130,39,10.0,0,1,1,1,1,1,1,1
32,1,Cairo,Greater Cairo,Nile River,2020,10,Autumn,7.66,0.17,305,0.63,540,1.43,0.007,0.096,0.05,0.007,54,124,57,10.0,0,1,1,1,1,1,1,1
33,1,Cairo,Greater Cairo,Nile River,2022,8,Summer,7.68,0.65,286,0.54,582,4.23,0.013,0.143,0.067,0.025,38,132,40,10.0,0,1,1,1,1,1,1,1
34,1,Cairo,Greater Cairo,Nile River,2023,6,Summer,7.85,0.68,313,0.71,516,2.76,0.02,0.132,0.108,0.038,50,134,36,10.0,0,1,1,1,1,1,1,1
35,1,Cairo,Greater Cairo,Nile River,2022,1,Winter,8.02,0.47,289,0.69,555,1.88,0.015,0.026,0.036,0.004,59,184,43,10.0,0,1,1,1,1,1,1,1
36,1,Cairo,Greater Cairo,Nile River,2020,9,Autumn,7.86,0.79,236,0.6,553,2.08,0.014,0.072,0.056,0.019,52,153,41,10.0,0,1,1,1,1,1,1,1
37,1,Cairo,Greater Cairo,Nile River,2020,5,Spring,7.73,0.36,317,0.7,563,1.18,0.011,0.147,0.063,0.022,49,188,53,10.0,0,1,1,1,1,1,1,1
38,1,Cairo,Greater Cairo,Nile River,2021,2,Winter,7.91,0.44,272,0.71,531,2.21,0.008,0.064,0.054,0.024,51,149,35,10.0,0,1,1,1,1,1,1,1
39,1,Cairo,Greater Cairo,Nile River,2021,7,Summer,7.76,0.58,306,0.86,529,3.24,0.009,0.146,0.111,0.022,68,151,22,10.0,0,1,1,1,1,1,1,1
40,1,Cairo,Greater Cairo,Nile River,2020,3,Spring,7.85,0.88,279,0.56,459,3.1,0.016,0.088,0.059,0.013,63,150,40,10.0,0,1,1,1,1,1,1,1
41,1,Cairo,Greater Cairo,Nile River,2023,8,Summer,7.94,0.89,292,0.66,532,2.8,0.017,0.113,0.07,0.034,35,135,29,10.0,0,1,1,1,1,1,1,1
42,1,Cairo,Greater Cairo,Nile River,2021,9,Autumn,7.9,0.05,292,0.74,581,1.71,0.007,0.082,0.038,0.019,43,124,45,10.0,0,1,1,1,1,1,1,1
43,1,Cairo,Greater Cairo,Nile River,2022,6,Summer,7.72,0.52,319,0.68,636,2.1,0.019,0.16,0.068,0.023,36,119,49,10.0,0,1,1,1,1,1,1,1
44,1,Cairo,Greater Cairo,Nile River,2022,1,Winter,7.8,0.33,277,0.69,514,2.77,0.001,0.109,0.065,0.005,40,141,29,10.0,0,1,1,1,1,1,1,1
45,1,Cairo,Greater Cairo,Nile River,2021,7,Summer,7.77,0.99,267,0.71,546,2.23,0.011,0.156,0.091,0.029,57,156,49,10.0,1,1,1,1,1,1,0,0
46,1,Cairo,Greater Cairo,Nile River,2020,7,Summer,7.6,1.19,276,0.6,597,2.03,0.021,0.084,0.096,0.015,29,138,47,10.0,0,1,0,1,1,1,1,0
47,1,Cairo,Greater Cairo,Nile River,2021,3,Spring,8.0,0.52,278,0.84,555,1.48,0.009,0.083,0.059,0.024,51,158,48,10.0,0,1,1,1,1,1,1,1
48,1,Cairo,Greater Cairo,Nile River,2020,5,Spring,7.92,0.59,304,0.78,597,2.81,0.006,0.052,0.046,0.02,47,135,40,10.0,0,1,1,1,1,1,1,1
49,1,Cairo,Greater Cairo,Nile River,2021,8,Summer,7.9,0.67,326,0.83,540,3.41,0.011,0.122,0.059,0.029,45,152,36,10.0,0,1,1,1,1,1,1,1
50,1,Cairo,Greater Cairo,Nile River,2021,1,Winter,8.04,0.42,255,0.64,544,2.19,0.007,0.104,0.02,0.024,32,144,46,10.0,0,1,1,1,1,1,1,1
51,1,Cairo,Greater Cairo,Nile River,2023,7,Summer,7.9,1.08,341,0.78,551,2.85,0.019,0.11,0.048,0.026,46,137,38,10.0,0,1,0,1,1,1,1,0
52,1,Cairo,Greater Cairo,Nile River,2023,4,Spring,7.74,0.68,263,0.73,488,2.97,0.012,0.094,0.061,0.008,38,167,45,10.0,0,1,1,1,1,1,1,1
53,1,Cairo,Greater Cairo,Nile River,2021,7,Summer,7.83,0.69,324,0.66,544,2.75,0.012,0.143,0.065,0.027,45,110,27,10.0,0,1,1,1,1,1,1,1
54,1,Cairo,Greater Cairo,Nile River,2022,5,Spring,7.8,0.55,337,0.58,569,2.07,0.013,0.11,0.038,0.022,44,157,41,10.0,0,1,1,1,1,1,1,1
55,1,Cairo,Greater Cairo,Nile River,2020,10,Autumn,7.86,0.6,267,0.74,630,2.48,0.006,0.095,0.028,0.039,61,136,23,10.0,0,1,1,1,1,1,1,1
56,1,Cairo,Greater Cairo,Nile River,2022,3,Spring,7.87,0.72,277,0.69,460,1.45,0.017,0.061,0.042,0.02,49,129,15,10.0,0,1,1,1,1,1,1,1
57,1,Cairo,Greater Cairo,Nile River,2023,8,Summer,7.87,1.26,318,0.74,589,3.12,0.016,0.112,0.07,0.022,46,137,41,10.0,1,1,0,1,1,1,0,0
58,1,Cairo,Greater Cairo,Nile River,2023,10,Autumn,7.76,0.33,281,0.73,547,2.44,0.012,0.09,0.067,0.011,43,150,44,10.0,0,1,1,1,1,1,1,1
59,1,Cairo,Greater Cairo,Nile River,2023,6,Summer,7.94,0.63,278,0.64,576,3.49,0.02,0.107,0.088,0.034,37,147,54,10.0,0,1,1,1,1,1,1,1
60,1,Cairo,Greater Cairo,Nile River,2021,11,Autumn,7.75,0.73,284,0.75,557,2.17,0.018,0.093,0.068,0.017,37,161,42,10.0,0,1,1,1,1,1,1,1
61,1,Cairo,Greater Cairo,Nile River,2023,3,Spring,7.91,0.46,280,0.61,533,2.06,0.017,0.08,0.063,0.02,45,144,44,10.0,0,1,1,1,1,1,1,1
62,1,Cairo,Greater Cairo,Nile River,2023,3,Spring,7.72,0.69,294,0.55,473,2.56,0.007,0.099,0.062,0.014,50,117,41,10.0,0,1,1,1,1,1,1,1
63,1,Cairo,Greater Cairo,Nile River,2022,2,Winter,8.1,0.34,320,0.57,539,2.16,0.011,0.059,0.043,0.015,62,148,42,10.0,0,1,1,1,1,1,1,1
64,1,Cairo,Greater Cairo,Nile River,2021,2,Winter,7.92,0.44,260,0.57,561,2.2,0.011,0.068,0.05,0.022,55,175,41,10.0,0,1,1,1,1,1,1,1
65,1,Cairo,Greater Cairo,Nile River,2022,4,Spring,7.93,0.39,331,0.7,613,1.79,0.02,0.096,0.045,0.017,40,156,43,10.0,0,1,1,1,1,1,1,1
66,1,Cairo,Greater Cairo,Nile River,2022,2,Winter,7.86,0.09,273,0.68,470,1.59,0.006,0.065,0.042,0.019,42,157,41,10.0,0,1,1,1,1,1,1,1
67,1,Cairo,Greater Cairo,Nile River,2023,12,Winter,7.61,0.77,292,0.86,459,1.53,0.014,0.082,0.055,0.009,54,162,42,10.0,0,1,1,1,1,1,1,1
68,1,Cairo,Greater Cairo,Nile River,2020,12,Winter,7.83,0.05,277,0.67,489,1.79,0.017,0.027,0.074,0.022,45,135,33,10.0,0,1,1,1,1,1,1,1
69,1,Cairo,Greater Cairo,Nile River,2020,1,Winter,7.74,0.48,293,0.73,528,1.1,0.015,0.062,0.023,0.014,55,163,36,10.0,0,1,1,1,1,1,1,1
70,1,Cairo,Greater Cairo,Nile River,2022,5,Spring,7.98,0.54,286,0.86,537,2.85,0.011,0.091,0.036,0.024,45,132,33,10.0,0,1,1,1,1,1,1,1
71,1,Cairo,Greater Cairo,Nile River,2022,2,Winter,7.61,0.51,241,0.71,482,1.93,0.011,0.08,0.041,0.014,37,157,44,10.0,1,1,1,1,1,1,0,0
72,1,Cairo,Greater Cairo,Nile River,2020,2,Winter,7.92,0.48,283,0.69,532,2.14,0.007,0.097,0.03,0.027,37,153,46,10.0,0,1,1,1,1,1,1,1
73,1,Cairo,Greater Cairo,Nile River,2022,9,Autumn,7.84,0.34,321,0.67,515,2.65,0.012,0.118,0.07,0.012,52,122,47,10.0,0,1,1,1,1,1,1,1
74,1,Cairo,Greater Cairo,Nile River,2022,1,Winter,7.72,0.2,335,0.78,497,3.22,0.015,0.067,0.01,0.031,32,118,46,10.0,0,1,1,1,1,1,1,1
75,1,Cairo,Greater Cairo,Nile River,2023,6,Summer,7.9,0.97,341,0.69,582,2.98,0.013,0.172,0.076,0.02,39,140,43,10.0,0,1,1,1,1,1,1,1
76,1,Cairo,Greater Cairo,Nile River,2023,12,Winter,7.57,0.49,332,0.76,500,0.92,0.011,0.072,0.032,0.02,58,152,40,10.0,0,1,1,1,1,1,1,1
77,1,Cairo,Greater Cairo,Nile River,2023,4,Spring,7.86,0.05,304,0.91,583,2.45,0.009,0.104,0.066,0.018,46,175,33,10.0,0,1,1,1,1,1,1,1
78,1,Cairo,Greater Cairo,Nile River,2023,7,Summer,7.72,0.78,287,0.89,497,3.27,0.021,0.138,0.074,0.027,43,145,47,10.0,0,1,1,1,1,1,1,1
79,2,Giza,Greater Cairo,Nile River,2021,9,Autumn,7.73,0.94,335,0.53,497,1.36,0.021,0.153,0.085,0.026,35,175,36,10.0,0,1,1,1,1,1,1,1
80,2,Giza,Greater Cairo,Nile River,2020,1,Winter,7.76,1.11,325,0.55,578,1.21,0.008,0.124,0.044,0.024,49,153,29,10.0,0,1,0,1,1,1,1,0
81,2,Giza,Greater Cairo,Nile River,2020,5,Spring,7.77,0.59,328,0.47,552,2.07,0.012,0.157,0.1,0.034,40,158,55,10.0,0,1,1,1,1,1,1,1
82,2,Giza,Greater Cairo,Nile River,2022,2,Winter,7.75,0.91,323,0.82,539,2.01,0.008,0.056,0.046,0.02,62,165,46,10.0,0,1,1,1,1,1,1,1
83,2,Giza,Greater Cairo,Nile River,2020,6,Summer,7.73,1.32,323,0.64,554,4.6,0.025,0.186,0.103,0.04,39,157,38,10.0,1,1,0,1,1,1,0,0
84,2,Giza,Greater Cairo,Nile River,2023,9,Autumn,7.41,0.86,294,0.63,569,2.62,0.019,0.15,0.079,0.023,36,165,47,10.0,1,1,1,1,1,1,0,0
85,2,Giza,Greater Cairo,Nile River,2021,6,Summer,7.46,1.98,365,0.42,549,3.36,0.031,0.165,0.085,0.048,39,159,40,10.0,0,1,0,1,1,1,1,0
86,2,Giza,Greater Cairo,Nile River,2022,4,Spring,7.48,1.29,337,0.81,513,2.55,0.015,0.15,0.071,0.022,61,158,52,10.0,0,1,0,1,1,1,1,0
87,2,Giza,Greater Cairo,Nile River,2021,11,Autumn,7.88,0.79,372,0.67,576,1.86,0.021,0.105,0.059,0.034,38,149,45,10.0,0,1,1,1,1,1,1,1
88,2,Giza,Greater Cairo,Nile River,2020,4,Spring,7.64,1.15,354,0.65,599,2.92,0.018,0.117,0.088,0.031,53,161,51,10.0,0,1,0,1,1,1,1,0
89,2,Giza,Greater Cairo,Nile River,2022,8,Summer,7.73,1.74,315,0.62,523,3.82,0.023,0.22,0.108,0.043,52,155,39,10.0,0,1,0,1,1,1,1,0
90,2,Giza,Greater Cairo,Nile River,2021,3,Spring,7.54,1.14,356,0.66,599,2.17,0.009,0.165,0.074,0.028,62,175,49,10.0,0,1,0,1,1,1,1,0
91,2,Giza,Greater Cairo,Nile River,2023,5,Spring,7.68,0.53,322,0.51,559,3.28,0.011,0.131,0.065,0.031,58,121,36,10.0,0,1,1,1,1,1,1,1
92,2,Giza,Greater Cairo,Nile River,2023,12,Winter,7.72,0.75,282,0.68,564,2.48,0.018,0.078,0.09,0.025,58,179,36,10.0,0,1,1,1,1,1,1,1
93,2,Giza,Greater Cairo,Nile River,2023,6,Summer,7.93,1.48,342,0.54,522,3.75,0.018,0.115,0.126,0.048,42,169,54,10.0,0,1,0,1,1,1,1,0
94,2,Giza,Greater Cairo,Nile River,2020,10,Autumn,7.66,0.62,307,0.65,627,2.98,0.01,0.133,0.102,0.026,49,164,39,10.0,1,1,1,1,1,1,0,0
95,2,Giza,Greater Cairo,Nile River,2021,3,Spring,7.68,1.4,293,0.6,623,1.82,0.013,0.14,0.087,0.024,46,140,53,10.0,0,1,0,1,1,1,1,0
96,2,Giza,Greater Cairo,Nile River,2022,5,Spring,7.91,1.7,381,0.71,600,3.11,0.02,0.103,0.065,0.03,48,155,51,10.0,0,1,0,1,1,1,1,0
97,2,Giza,Greater Cairo,Nile River,2022,4,Spring,7.74,0.72,305,0.48,589,3.32,0.012,0.104,0.079,0.046,55,145,47,10.0,1,1,1,1,1,1,0,0
98,2,Giza,Greater Cairo,Nile River,2022,6,Summer,7.71,0.38,342,0.59,553,2.66,0.025,0.152,0.091,0.022,50,199,59,10.0,0,1,1,1,1,1,1,1
99,2,Giza,Greater Cairo,Nile River,2020,12,Winter,7.65,0.48,318,0.67,511,1.63,0.008,0.044,0.059,0.03,52,161,46,10.0,0,1,1,1,1,1,1,1
100,2,Giza,Greater Cairo,Nile River,2021,2,Winter,7.44,0.47,326,0.61,581,2.36,0.013,0.084,0.084,0.019,40,175,34,10.0,1,1,1,1,1,1,0,0
101,2,Giza,Greater Cairo,Nile River,2021,9,Autumn,7.57,0.88,336,0.77,600,1.1,0.017,0.163,0.056,0.034,48,187,48,10.0,0,1,1,1,1,1,1,1
102,2,Giza,Greater Cairo,Nile River,2020,3,Spring,7.78,1.72,324,0.53,549,3.66,0.013,0.096,0.071,0.023,51,196,48,10.0,1,1,0,1,1,1,0,0
103,2,Giza,Greater Cairo,Nile River,2021,9,Autumn,7.91,1.08,374,0.78,546,2.21,0.012,0.075,0.071,0.038,30,143,44,10.0,0,1,0,1,1,1,1,0
104,2,Giza,Greater Cairo,Nile River,2020,8,Summer,7.82,0.96,386,0.7,554,4.68,0.023,0.194,0.121,0.036,44,185,43,10.0,0,1,1,1,1,1,1,1
105,2,Giza,Greater Cairo,Nile River,2023,12,Winter,7.61,1.1,295,0.7,551,2.51,0.015,0.084,0.075,0.02,45,175,47,10.0,0,1,0,1,1,1,1,0
106,2,Giza,Greater Cairo,Nile River,2021,6,Summer,7.94,1.5,325,0.42,566,4.69,0.022,0.101,0.103,0.049,55,147,41,10.0,0,1,0,1,1,1,1,0
107,2,Giza,Greater Cairo,Nile River,2022,10,Autumn,7.53,1.71,367,0.65,575,2.97,0.014,0.129,0.063,0.034,58,156,40,10.0,0,1,0,1,1,1,1,0
108,2,Giza,Greater Cairo,Nile River,2023,5,Spring,7.76,1.01,333,0.64,584,3.48,0.018,0.113,0.092,0.043,49,145,54,10.0,0,1,0,1,1,1,1,0
109,2,Giza,Greater Cairo,Nile River,2021,11,Autumn,7.62,0.91,332,0.62,587,2.4,0.019,0.112,0.093,0.034,42,186,41,10.0,1,1,1,1,1,1,0,0
110,2,Giza,Greater Cairo,Nile River,2022,4,Spring,7.66,0.81,322,0.57,591,1.57,0.011,0.088,0.097,0.042,49,161,46,10.0,0,1,1,1,1,1,1,1
111,2,Giza,Greater Cairo,Nile River,2023,3,Spring,7.93,0.91,309,0.6,535,2.87,0.016,0.146,0.073,0.024,47,157,44,10.0,0,1,1,1,1,1,1,1
112,2,Giza,Greater Cairo,Nile River,2022,7,Summer,7.55,1.33,326,0.38,590,3.88,0.03,0.186,0.153,0.043,49,160,42,10.0,0,1,0,1,1,1,1,0
113,2,Giza,Greater Cairo,Nile River,2020,12,Winter,7.34,0.3,383,0.55,445,1.28,0.026,0.081,0.089,0.026,46,180,26,10.0,0,1,1,1,1,1,1,1
114,2,Giza,Greater Cairo,Nile River,2021,6,Summer,7.67,1.67,339,0.53,559,3.22,0.028,0.169,0.146,0.042,44,134,31,10.0,1,1,0,1,1,1,0,0
115,2,Giza,Greater Cairo,Nile River,2022,1,Winter,7.62,0.85,364,0.68,540,1.67,0.003,0.08,0.064,0.019,49,166,43,10.0,1,1,1,1,1,1,0,0
116,2,Giza,Greater Cairo,Nile River,2022,2,Winter,7.72,1.09,287,0.6,570,1.54,0.015,0.153,0.078,0.032,28,195,43,10.0,1,1,0,1,1,1,0,0
117,2,Giza,Greater Cairo,Nile River,2021,9,Autumn,7.81,1.43,336,0.68,634,2.18,0.011,0.087,0.075,0.04,55,174,30,10.0,0,1,0,1,1,1,1,0
118,2,Giza,Greater Cairo,Nile River,2021,9,Autumn,7.68,0.81,362,0.88,576,1.98,0.015,0.133,0.038,0.032,54,191,55,10.0,0,1,1,1,1,1,1,1
119,2,Giza,Greater Cairo,Nile River,2022,4,Spring,7.53,0.98,320,0.59,551,3.22,0.008,0.093,0.079,0.022,50,163,34,10.0,0,1,1,1,1,1,1,1
120,2,Giza,Greater Cairo,Nile River,2021,2,Winter,7.47,0.32,334,0.42,559,1.47,0.021,0.11,0.064,0.034,40,147,35,10.0,1,1,1,1,1,1,0,0
121,2,Giza,Greater Cairo,Nile River,2021,12,Winter,7.74,0.68,337,0.54,513,3.04,0.019,0.083,0.099,0.023,51,162,49,10.0,0,1,1,1,1,1,1,1
122,2,Giza,Greater Cairo,Nile River,2022,2,Winter,7.73,1.37,309,0.63,523,2.91,0.013,0.067,0.068,0.028,52,185,33,10.0,0,1,0,1,1,1,1,0
123,2,Giza,Greater Cairo,Nile River,2023,11,Autumn,7.39,2.13,353,0.62,555,2.9,0.019,0.139,0.09,0.031,48,161,43,10.0,0,1,0,1,1,1,1,0
124,2,Giza,Greater Cairo,Nile River,2023,3,Spring,7.54,0.62,343,0.52,651,3.02,0.021,0.135,0.102,0.024,63,167,55,10.0,0,1,1,1,1,1,1,1
125,2,Giza,Greater Cairo,Nile River,2020,8,Summer,7.79,1.95,350,0.64,540,3.93,0.018,0.167,0.082,0.031,48,153,47,10.0,1,1,0,1,1,1,0,0
126,2,Giza,Greater Cairo,Nile River,2023,11,Autumn,7.74,1.24,319,0.45,576,2.17,0.01,0.139,0.075,0.037,43,155,54,10.0,0,1,0,1,1,1,1,0
127,2,Giza,Greater Cairo,Nile River,2021,5,Spring,7.63,0.41,303,0.65,585,2.98,0.023,0.114,0.117,0.036,27,200,39,10.0,0,1,1,1,1,1,1,1
128,2,Giza,Greater Cairo,Nile River,2022,4,Spring,7.74,0.75,322,0.44,528,2.41,0.013,0.125,0.065,0.038,50,164,42,10.0,0,1,1,1,1,1,1,1
129,2,Giza,Greater Cairo,Nile River,2020,5,Spring,7.72,0.54,329,0.7,478,1.87,0.017,0.134,0.093,0.031,54,182,42,10.0,1,1,1,1,1,1,0,0
130,2,Giza,Greater Cairo,Nile River,2021,11,Autumn,7.7,1.01,306,0.57,583,3.54,0.015,0.106,0.08,0.034,37,118,41,10.0,0,1,0,1,1,1,1,0
131,2,Giza,Greater Cairo,Nile River,2020,9,Autumn,7.72,0.44,368,0.54,596,2.47,0.02,0.159,0.092,0.035,49,155,46,10.0,0,1,1,1,1,1,1,1
132,2,Giza,Greater Cairo,Nile River,2022,5,Spring,7.57,0.4,274,0.61,493,1.91,0.015,0.041,0.094,0.013,49,164,49,10.0,0,1,1,1,1,1,1,1
133,2,Giza,Greater Cairo,Nile River,2022,4,Spring,7.45,0.82,311,0.57,567,3.47,0.015,0.099,0.06,0.027,33,149,55,10.0,0,1,1,1,1,1,1,1
134,2,Giza,Greater Cairo,Nile River,2022,12,Winter,7.71,0.82,324,0.62,542,3.34,0.006,0.077,0.066,0.014,48,197,45,10.0,1,1,1,1,1,1,0,0
135,2,Giza,Greater Cairo,Nile River,2021,11,Autumn,7.8,1.49,291,0.52,558,2.96,0.022,0.136,0.077,0.033,53,199,46,10.0,0,1,0,1,1,1,1,0
136,2,Giza,Greater Cairo,Nile River,2023,4,Spring,7.57,1.73,278,0.62,642,2.7,0.015,0.109,0.077,0.04,30,195,34,10.0,0,1,0,1,1,1,1,0
137,2,Giza,Greater Cairo,Nile River,2023,11,Autumn,7.75,1.08,324,0.63,539,1.57,0.012,0.125,0.083,0.03,55,152,45,10.0,1,1,0,1,1,1,0,0
138,3,Qalyubia,Greater Cairo,Canal/Nile,2020,8,Summer,7.5,3.19,273,0.41,523,1.32,0.017,0.15,0.115,0.043,50,140,36,10.0,0,1,0,1,1,1,1,0
139,3,Qalyubia,Greater Cairo,Canal/Nile,2021,11,Autumn,7.59,1.43,252,0.58,459,0.48,0.006,0.052,0.095,0.026,41,145,42,10.0,0,1,0,1,1,1,1,0
140,3,Qalyubia,Greater Cairo,Canal/Nile,2022,11,Autumn,7.74,1.55,281,0.61,505,0.65,0.009,0.056,0.1,0.035,27,124,34,10.0,0,1,0,1,1,1,1,0
141,3,Qalyubia,Greater Cairo,Canal/Nile,2023,10,Autumn,7.57,2.21,267,0.69,433,0.87,0.006,0.111,0.108,0.022,22,139,38,10.0,0,1,0,1,1,1,1,0
142,3,Qalyubia,Greater Cairo,Canal/Nile,2022,8,Summer,7.73,2.01,214,0.66,495,1.38,0.019,0.213,0.113,0.036,50,122,32,10.0,0,1,0,1,1,1,1,0
143,3,Qalyubia,Greater Cairo,Canal/Nile,2021,3,Spring,7.73,1.2,246,0.71,510,1.22,0.007,0.072,0.083,0.02,45,124,28,10.0,0,1,0,1,1,1,1,0
144,3,Qalyubia,Greater Cairo,Canal/Nile,2021,10,Autumn,7.48,1.99,279,0.68,513,0.49,0.013,0.07,0.082,0.027,54,186,39,10.0,0,1,0,1,1,1,1,0
145,3,Qalyubia,Greater Cairo,Canal/Nile,2022,7,Summer,7.7,2.32,303,0.63,486,1.39,0.012,0.156,0.1,0.028,47,151,40,10.0,0,1,0,1,1,1,1,0
